datetime,capital,position_value,equity
2020-07-28,410269.43783887336,779889.7705078125,1190159.2083466859
2020-07-29,410269.43783887336,756582.7026367188,1166852.140475592
2020-07-30,410269.43783887336,778096.8627929688,1188366.300631842
2020-07-31,410269.43783887336,762857.666015625,1173127.1038544984
2020-08-03,1152423.3371414766,0.0,1152423.3371414766
2020-08-04,1152423.3371414766,0.0,1152423.3371414766
2020-08-05,1152423.3371414766,0.0,1152423.3371414766
2020-08-06,1152423.3371414766,0.0,1152423.3371414766
2020-08-07,1152423.3371414766,0.0,1152423.3371414766
2020-08-10,1152423.3371414766,0.0,1152423.3371414766
2020-08-11,1152423.3371414766,0.0,1152423.3371414766
2020-08-12,1152423.3371414766,0.0,1152423.3371414766
2020-08-13,1152423.3371414766,0.0,1152423.3371414766
2020-08-14,1152423.3371414766,0.0,1152423.3371414766
2020-08-17,1152423.3371414766,0.0,1152423.3371414766
2020-08-18,1152423.3371414766,0.0,1152423.3371414766
2020-08-19,1152423.3371414766,0.0,1152423.3371414766
2020-08-20,1152423.3371414766,0.0,1152423.3371414766
2020-08-21,1152423.3371414766,0.0,1152423.3371414766
2020-08-24,1152423.3371414766,0.0,1152423.3371414766
2020-08-25,1152423.3371414766,0.0,1152423.3371414766
2020-08-26,1152423.3371414766,0.0,1152423.3371414766
2020-08-27,1152423.3371414766,0.0,1152423.3371414766
2020-08-28,1152423.3371414766,0.0,1152423.3371414766
2020-08-31,1152423.3371414766,0.0,1152423.3371414766
2020-09-01,1152423.3371414766,0.0,1152423.3371414766
2020-09-02,1152423.3371414766,0.0,1152423.3371414766
2020-09-03,1152423.3371414766,0.0,1152423.3371414766
2020-09-04,1152423.3371414766,0.0,1152423.3371414766
2020-09-07,1152423.3371414766,0.0,1152423.3371414766
2020-09-08,1152423.3371414766,0.0,1152423.3371414766
2020-09-09,1152423.3371414766,0.0,1152423.3371414766
2020-09-10,1152423.3371414766,0.0,1152423.3371414766
2020-09-11,1152423.3371414766,0.0,1152423.3371414766
2020-09-14,1152423.3371414766,0.0,1152423.3371414766
2020-09-15,1152423.3371414766,0.0,1152423.3371414766
2020-09-16,1152423.3371414766,0.0,1152423.3371414766
2020-09-17,1152423.3371414766,0.0,1152423.3371414766
2020-09-18,1152423.3371414766,0.0,1152423.3371414766
2020-09-21,1152423.3371414766,0.0,1152423.3371414766
2020-09-22,1152423.3371414766,0.0,1152423.3371414766
2020-09-23,1152423.3371414766,0.0,1152423.3371414766
2020-09-24,1152423.3371414766,0.0,1152423.3371414766
2020-09-25,1152423.3371414766,0.0,1152423.3371414766
2020-09-28,1152423.3371414766,0.0,1152423.3371414766
2020-09-29,1152423.3371414766,0.0,1152423.3371414766
2020-09-30,1152423.3371414766,0.0,1152423.3371414766
2020-10-05,1152423.3371414766,0.0,1152423.3371414766
2020-10-06,1152423.3371414766,0.0,1152423.3371414766
2020-10-07,1152423.3371414766,0.0,1152423.3371414766
2020-10-08,1152423.3371414766,0.0,1152423.3371414766
2020-10-12,1152423.3371414766,0.0,1152423.3371414766
2020-10-13,1152423.3371414766,0.0,1152423.3371414766
