datetime,capital,position_value,equity
2025-12-29,985616.9634942841,0.0,985616.9634942841
2025-12-30,985616.9634942841,0.0,985616.9634942841
2025-12-31,985616.9634942841,0.0,985616.9634942841
2026-01-02,0.0,983720.5990217937,983720.5990217937
2026-01-05,516764.0166874903,519320.5212580328,1036084.5379455232
2026-01-06,516764.0166874903,529937.5525767202,1046701.5692642105
2026-01-07,516764.0166874903,526529.6654880206,1043293.6821755109
2026-01-08,516764.0166874903,525219.0369948536,1041983.0536823439
2026-01-09,516764.0166874903,523842.6818220386,1040606.6985095289
2026-01-12,516764.0166874903,532231.4961985472,1048995.5128860376
2026-01-13,516764.0166874903,537408.8335056225,1054172.8501931126
2026-01-14,516764.0166874903,542651.8974923459,1059415.9141798362
2026-01-15,516764.0166874903,543110.664216149,1059874.6809036392
2026-01-16,516764.0166874903,560150.4846694863,1076914.5013569766
2026-01-19,516764.0166874903,568736.0390736946,1085500.055761185
2026-01-20,516764.0166874903,568866.9424189352,1085630.9591064255
2026-01-21,516764.0166874903,555497.4207602399,1072261.4374477302
2026-01-22,516764.0166874903,569456.9424964123,1086220.9591839025
2026-01-23,516764.0166874903,578304.5785981297,1095068.59528562
2026-01-26,516764.0166874903,578632.1669696644,1095396.1836571547
2026-01-27,516764.0166874903,591281.0602126698,1108045.07690016
2026-01-28,516764.0166874903,608124.1956397129,1124888.2123272032
2026-01-29,516764.0166874903,601308.0914538801,1118072.1081413704
2026-01-30,516764.0166874903,583219.7792062905,1099983.795893781
2026-02-02,1073961.3374958667,0.0,1073961.3374958667
2026-02-03,1073961.3374958667,0.0,1073961.3374958667
2026-02-04,1073961.3374958667,0.0,1073961.3374958667
2026-02-05,1073961.3374958667,0.0,1073961.3374958667
2026-02-06,1073961.3374958667,0.0,1073961.3374958667
2026-02-09,1073961.3374958667,0.0,1073961.3374958667
2026-02-10,1073961.3374958667,0.0,1073961.3374958667
2026-02-11,1073961.3374958667,0.0,1073961.3374958667
2026-02-23,1073961.3374958667,0.0,1073961.3374958667
2026-02-24,1073961.3374958667,0.0,1073961.3374958667
2026-02-25,0.0,1071894.995092389,1071894.995092389
2026-02-26,0.0,1079825.4158473928,1079825.4158473928
2026-03-02,0.0,1056536.1706565737,1056536.1706565737
2026-03-03,999792.4919910255,0.0,999792.4919910255
2026-03-04,999792.4919910255,0.0,999792.4919910255
2026-03-05,999792.4919910255,0.0,999792.4919910255
2026-03-06,999792.4919910255,0.0,999792.4919910255
2026-03-09,999792.4919910255,0.0,999792.4919910255
2026-03-10,999792.4919910255,0.0,999792.4919910255
2026-03-11,999792.4919910255,0.0,999792.4919910255
2026-03-12,999792.4919910255,0.0,999792.4919910255
2026-03-13,999792.4919910255,0.0,999792.4919910255
2026-03-16,999792.4919910255,0.0,999792.4919910255
2026-03-17,999792.4919910255,0.0,999792.4919910255
2026-03-18,999792.4919910255,0.0,999792.4919910255
2026-03-19,999792.4919910255,0.0,999792.4919910255
2026-03-20,999792.4919910255,0.0,999792.4919910255
2026-03-23,999792.4919910255,0.0,999792.4919910255
2026-03-24,999792.4919910255,0.0,999792.4919910255
2026-03-25,999792.4919910255,0.0,999792.4919910255
2026-03-26,999792.4919910255,0.0,999792.4919910255
2026-03-27,999792.4919910255,0.0,999792.4919910255
2026-03-30,999792.4919910255,0.0,999792.4919910255
2026-03-31,999792.4919910255,0.0,999792.4919910255
2026-04-01,999792.4919910255,0.0,999792.4919910255
2026-04-02,999792.4919910255,0.0,999792.4919910255
2026-04-07,999792.4919910255,0.0,999792.4919910255
2026-04-08,999792.4919910255,0.0,999792.4919910255
2026-04-09,999792.4919910255,0.0,999792.4919910255
2026-04-10,999792.4919910255,0.0,999792.4919910255
2026-04-13,999792.4919910255,0.0,999792.4919910255
2026-04-14,999792.4919910255,0.0,999792.4919910255
2026-04-15,999792.4919910255,0.0,999792.4919910255
2026-04-16,999792.4919910255,0.0,999792.4919910255
2026-04-17,999792.4919910255,0.0,999792.4919910255
2026-04-20,999792.4919910255,0.0,999792.4919910255
2026-04-21,999792.4919910255,0.0,999792.4919910255
2026-04-22,999792.4919910255,0.0,999792.4919910255
2026-04-23,999792.4919910255,0.0,999792.4919910255
2026-04-24,999792.4919910255,0.0,999792.4919910255
2026-04-27,999792.4919910255,0.0,999792.4919910255
2026-04-28,999792.4919910255,0.0,999792.4919910255
2026-04-29,999792.4919910255,0.0,999792.4919910255
2026-04-30,999792.4919910255,0.0,999792.4919910255
2026-05-04,999792.4919910255,0.0,999792.4919910255
2026-05-05,999792.4919910255,0.0,999792.4919910255
2026-05-06,999792.4919910255,0.0,999792.4919910255
2026-05-07,999792.4919910255,0.0,999792.4919910255
2026-05-08,999792.4919910255,0.0,999792.4919910255
2026-05-11,999792.4919910255,0.0,999792.4919910255
2026-05-12,999792.4919910255,0.0,999792.4919910255
2026-05-13,999792.4919910255,0.0,999792.4919910255
2026-05-14,999792.4919910255,0.0,999792.4919910255
2026-05-15,999792.4919910255,0.0,999792.4919910255
2026-05-18,999792.4919910255,0.0,999792.4919910255
2026-05-19,999792.4919910255,0.0,999792.4919910255
2026-05-20,999792.4919910255,0.0,999792.4919910255
2026-05-21,999792.4919910255,0.0,999792.4919910255
2026-05-22,999792.4919910255,0.0,999792.4919910255
2026-05-25,999792.4919910255,0.0,999792.4919910255
